ICEDEALID,TRAN_NUM,DEAL_TRACKING_NUM,REFERENCE,TRADE_DATE,POSITION,PRICE
13057444,35834124,35834124,13057444.202933:011017.B,1/11/2017 12:00:00 AM,5,55.70
13092336,35834166,35834166,13092336.212031:011017.B,1/11/2017 12:00:00 AM,1,53.77
13154805,35834351,35834351,13154805.234410:011017.S,1/11/2017 12:00:00 AM,-2,54.89
13154161,35834342,35834342,13154161.234136:011017.S,1/11/2017 12:00:00 AM,-1,54.89
13057449,35834127,35834127,13057449.202933:011017.B,1/11/2017 12:00:00 AM,1,55.70
13133596,35834231,35834231,13133596.225414:011017.S,1/11/2017 12:00:00 AM,-1,55.36
13150152,35834320,35834320,13150152.233304:011017.S,1/11/2017 12:00:00 AM,-2,54.35
13134614,35834245,35834245,13134614.225620:011017.S,1/11/2017 12:00:00 AM,-1,55.36
13147294,35834264,35834264,13147294.233000:011017.S,1/11/2017 12:00:00 AM,-2,54.35
13154820,35834352,35834352,13154820.234410:011017.S,1/11/2017 12:00:00 AM,-1,54.89
13057451,35834128,35834128,13057451.202933:011017.S,1/11/2017 12:00:00 AM,-1,56
13133601,35834230,35834230,13133601.225414:011017.S,1/11/2017 12:00:00 AM,-1,55.36
13145557,35834257,35834257,13145557.232725:011017.S,1/11/2017 12:00:00 AM,-1,54.35
13150160,35834318,35834318,13150160.233304:011017.S,1/11/2017 12:00:00 AM,-1,54.35
13154247,35834343,35834343,13154247.234152:011017.S,1/11/2017 12:00:00 AM,-1,54.89
13057445,35834123,35834123,13057445.202933:011017.S,1/11/2017 12:00:00 AM,-5,56
13092337,35834167,35834167,13092337.212031:011017.B,1/11/2017 12:00:00 AM,1,53.77
13154796,35834350,35834350,13154796.234410:011017.S,1/11/2017 12:00:00 AM,-3,54.89
13057455,35834126,35834126,13057455.202933:011017.B,1/11/2017 12:00:00 AM,1,55.70
13133606,35834232,35834232,13133606.225414:011017.S,1/11/2017 12:00:00 AM,-2,55.36
13145889,35834258,35834258,13145889.232729:011017.S,1/11/2017 12:00:00 AM,-1,54.35
13150620,35834321,35834321,13150620.233307:011017.S,1/11/2017 12:00:00 AM,-2,54.35
13154450,35834345,35834345,13154450.234236:011017.S,1/11/2017 12:00:00 AM,-1,54.89
13146928,35834263,35834263,13146928.232920:011017.S,1/11/2017 12:00:00 AM,-2,54.89
13133849,35834235,35834235,13133849.225419:011017.S,1/11/2017 12:00:00 AM,-1,55.36
13153901,35834340,35834340,13153901.234129:011017.S,1/11/2017 12:00:00 AM,-1,54.89
13092335,35834168,35834168,13092335.212031:011017.B,1/11/2017 12:00:00 AM,1,53.77
13154815,35834349,35834349,13154815.234410:011017.S,1/11/2017 12:00:00 AM,-1,54.89
13057457,35834125,35834125,13057457.202933:011017.S,1/11/2017 12:00:00 AM,-1,56
9028675,35834191,35834191,9028675.213356:011017.B,1/11/2017 12:00:00 AM,67,474
13133611,35834233,35834233,13133611.225414:011017.S,1/11/2017 12:00:00 AM,-1,55.36
13145939,35834259,35834259,13145939.232732:011017.S,1/11/2017 12:00:00 AM,-1,54.35
13133614,35834234,35834234,13133614.225414:011017.S,1/11/2017 12:00:00 AM,-1,55.36
13145976,35834260,35834260,13145976.232736:011017.S,1/11/2017 12:00:00 AM,-1,54.35
13154810,35834348,35834348,13154810.234410:011017.S,1/11/2017 12:00:00 AM,-1,54.89
13133617,35834236,35834236,13133617.225414:011017.S,1/11/2017 12:00:00 AM,-1,55.36
13146538,35834261,35834261,13146538.232833:011017.S,1/11/2017 12:00:00 AM,-1,54.35
13150145,35834319,35834319,13150145.233304:011017.S,1/11/2017 12:00:00 AM,-3,54.35
13154075,35834341,35834341,13154075.234133:011017.S,1/11/2017 12:00:00 AM,-1,54.89
13092334,35834169,35834169,13092334.212031:011017.B,1/11/2017 12:00:00 AM,2,53.77
13134752,35834244,35834244,13134752.225622:011017.S,1/11/2017 12:00:00 AM,-1,55.36
